,count,mean,std,min,25%,50%,75%,max
label,9564.0,0.4940401505646173,0.49999061881633133,0.0,0.0,0.0,1.0,1.0
koi_period,9564.0,75.67135842482391,1334.744046061674,0.241842544,2.73368419675,9.75283067,40.715177600000004,129995.7784
koi_duration,9564.0,5.6216063916771235,6.47155373725323,0.052,2.4377500000000003,3.7926,6.2764999999999995,138.54
koi_prad,9201.0,102.89177806760135,3077.6391262221828,0.08,1.4,2.39,14.93,200346.0
koi_depth,9201.0,23791.34398434953,82242.68470815988,0.0,159.9,421.1,1473.4,1541400.0
koi_model_snr,9201.0,259.8950005434192,795.8066147305613,0.0,12.0,23.0,78.0,9054.7
