model,n_features,train_time_s,test_time_s,inference_time_total_s,inference_time_per_sample_s,accuracy,precision,recall,f1,roc_auc,flops_estimate,n_train,n_test
RandomForest,5,1.0699304000008851,0.11187710001831874,0.11057090002577752,3.8526446002013076e-05,0.8219512195121951,0.8219539696398936,0.8219512195121951,0.8219405169640275,,149387425.0,6694,2870
ExtraTrees,5,0.9618256000103429,0.12030890001915395,0.11453449999680743,3.990749128808621e-05,0.8142857142857143,0.8142843335213439,0.8142857142857143,0.8142849250365028,,456209135.0,6694,2870
AdaBoost,5,2.238247400004184,0.04642040000180714,0.04618849998223595,1.609355400077908e-05,0.8222996515679443,0.8227994500936263,0.8222996515679443,0.8222794577973614,,26611665.0,6694,2870
RandomSubspace,5,3.8536509000114165,1.5765171000093687,0.2311780999880284,8.054986062300642e-05,0.7547038327526132,0.7555323155591006,0.7547038327526132,0.7546156663646186,,116870175.0,6694,2870
Stacking,5,3.9873249999945983,0.09499270000378601,0.09420199997839518,3.282299650815163e-05,0.8229965156794425,0.8230132989047876,0.8229965156794425,0.8229793191882039,,241315365.0,6694,2870
