Model,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Train_Time_s,Test_Time_s,Inference_ms_per_sample,Approx_FLOPS
XGBoost,0.8106437775560502,0.8116770572481686,0.8106426606651663,0.809917113743649,0.7485624673288029,0.7214903972122305,0.737163613281348,0.7249147302270583,0.37302517890930176,0.003362894058227539,0.0017579163921733086,9565000
HistGradientBoosting,0.8076297282576252,0.8087801965790182,0.8076279069767441,0.8069149218776241,0.7475169890224778,0.7228602423829154,0.7391118085976506,0.7257640437422707,0.6830728054046631,0.011203289031982422,0.0058563978212140206,9565000
CatBoost,,,,,0.7428123366440146,0.714580898313575,0.7306259314456036,0.7188393287898287,0.6598291397094727,0.0030007362365722656,0.001568602319170029,5739000
Random Forest,0.8159820363566521,0.8182795484028578,0.8159816620821874,0.8153208687320822,0.7422895974908521,0.7143877982184845,0.7299340900309604,0.7183335447257,0.36306309700012207,0.02899909019470215,0.015158959850863643,9565000
Logistic Regression,0.5196760626517657,0.5941838542423429,0.5196752521463699,0.5007259768501536,0.501829587036069,0.5568465688126922,0.5298545564939008,0.48243097238895566,0.07642006874084473,0.0,0.0,28695
