Model,Accuracy,Precision,Recall,F1-Score,ROC AUC,Train Time (s),Test Time (s),Test Time/Sample (ms),Parameters,FLOPs (estimate)
Random_Forest,0.7277777777777777,0.7135416666666666,0.7611111111111111,0.7365591397849464,0.791111111111111,0.3548284000135027,0.039569900021888316,0.10991638894968976,,
XGBoost,0.7305555555555555,0.7172774869109948,0.7611111111111111,0.738544474393531,0.7893827160493827,0.33652929999516346,0.00221060001058504,0.006140555584958444,,
DNN,0.6805555555555556,0.6633165829145728,0.7333333333333333,0.6965699208443272,0.7862037037037037,10.08527630000026,0.1654393000062555,0.4595536111284875,13441.0,26882.0
Residual_DNN,0.6916666666666667,0.6699507389162561,0.7555555555555555,0.7101827676240208,0.7777777777777779,11.351236299989978,0.1638954000081867,0.45526500002274084,62913.0,125826.0
CNN_LSTM,0.6972222222222222,0.6802030456852792,0.7444444444444445,0.7108753315649867,0.7541975308641975,11.908595600019908,0.523140399978729,1.4531677777186915,44609.0,89218.0
LSTM,0.6833333333333333,0.6813186813186813,0.6888888888888889,0.6850828729281768,0.7405246913580247,44.783699499996146,0.7247789000102784,2.0132747222507734,128929.0,257858.0
Transformer,0.5,0.0,0.0,0.0,0.5,4.59340979999979,0.14792489999672398,0.41090249999089995,4328.0,8656.0
