kepoi_name,koi_disposition,koi_pdisposition,koi_period,koi_duration,koi_prad,koi_depth,koi_model_snr
"K05286.01","FALSE POSITIVE","FALSE POSITIVE",342.830882,3.826,10.76,450.7,12.00
"K05287.01","CANDIDATE","CANDIDATE",3.98916186,1.913,28.1,318,16.30
"K03494.01","CONFIRMED","CANDIDATE",42.8774169,1.991,2.67,1068.8,14.80
"K03508.01","CANDIDATE","CANDIDATE",190.800788,8.082,1.67,287.6,13.00
"K03509.01","FALSE POSITIVE","FALSE POSITIVE",2.97601892,5.5,164.46,306.1,35.30
"K03781.01","FALSE POSITIVE","FALSE POSITIVE",2.882424694,25.91,399.44,67298,416.20
"K03791.02","CONFIRMED","CANDIDATE",220.142913,19.528,5.94,1796.4,121.20
"K04920.01","FALSE POSITIVE","FALSE POSITIVE",473.95103,11.778,3.32,330.6,9.60
"K05038.01","FALSE POSITIVE","FALSE POSITIVE",0.534109403,0.9513,2.28,78.3,37.00
"K05039.01","FALSE POSITIVE","FALSE POSITIVE",168.77118,2.263,2825.04,2045,5.50
"K05040.01","CANDIDATE","CANDIDATE",29.6094263,2.71,2.87,224.9,10.80
"K05041.01","FALSE POSITIVE","FALSE POSITIVE",22.9138322,4.855,30.24,340.3,8.00
"K05042.01","FALSE POSITIVE","FALSE POSITIVE",538.36855,19.26,2.37,545.5,7.00
"K05043.01","FALSE POSITIVE","FALSE POSITIVE",65.5327181,2.256,1.79,373.4,5.90
"K05044.01","CANDIDATE","CANDIDATE",161.537665,2.65,1.37,101.8,5.90
"K05045.01","FALSE POSITIVE","FALSE POSITIVE",1.018360336,7.622,107,393969,967.40
"K05164.01","CANDIDATE","CANDIDATE",209.967521,2.585,1.16,120,7.10
"K05165.01","CANDIDATE","CANDIDATE",369.73011,14.27,1.66,274.8,9.60
"K05166.01","FALSE POSITIVE","FALSE POSITIVE",78.04064906,2.15,,,
