kepoi_name,koi_disposition,koi_pdisposition,koi_period,koi_duration,koi_prad,koi_depth,koi_model_snr
"K01956.01","FALSE POSITIVE","FALSE POSITIVE",2.759573341,6.999,6.42,382,64.40
"K01834.01","FALSE POSITIVE","FALSE POSITIVE",3.79188234,2.15,1.95,417,6.60
"K01995.01","FALSE POSITIVE","FALSE POSITIVE",14.38724729,1.9078,29.24,1914.1,43.50
"K01855.01","FALSE POSITIVE","FALSE POSITIVE",58.4302648,7.18,3.45,1849.5,34.10
"K07814.01","FALSE POSITIVE","FALSE POSITIVE",0.566717263,2.6079,0.43,18.5,11.10
"K02249.01","FALSE POSITIVE","FALSE POSITIVE",13.37935853,8.809,6.65,353.5,36.20
"K02251.01","FALSE POSITIVE","FALSE POSITIVE",13.26255423,4.65,3.55,916.4,31.40
"K02254.01","FALSE POSITIVE","FALSE POSITIVE",20.5696575,4.263,28.96,401.5,22.20
"K02258.01","FALSE POSITIVE","FALSE POSITIVE",4.52342256,2.531,1.7,219,15.90
"K02054.01","FALSE POSITIVE","FALSE POSITIVE",22.32423657,3.669,4.56,1299.3,29.90
"K03945.01","FALSE POSITIVE","FALSE POSITIVE",0.723947772,2.125,52.16,242.7,17.70
"K03946.01","CONFIRMED","CANDIDATE",308.544422,18.503,3.28,586.8,56.80
"K03947.01","FALSE POSITIVE","FALSE POSITIVE",0.905679492,2.1164,35.74,2299,59.30
"K03947.02","FALSE POSITIVE","FALSE POSITIVE",22.735911,42.435,5.07,2311,69.40
"K03948.01","FALSE POSITIVE","FALSE POSITIVE",0.909310626,3.4411,48.79,12126.6,454.00
"K03949.01","FALSE POSITIVE","FALSE POSITIVE",0.648774274,2.643,1.08,231,26.10
"K00562.01","FALSE POSITIVE","FALSE POSITIVE",32.63286247,3.08,,,
"K00364.01","CANDIDATE","CANDIDATE",173.92851338,2.64,,,
"K00879.01","FALSE POSITIVE","FALSE POSITIVE",25.64384513,5.05,,,
"K00885.01","FALSE POSITIVE","FALSE POSITIVE",25.58546721,2.28,,,
"K00589.01","FALSE POSITIVE","FALSE POSITIVE",17.47702,54.52,0.93,138.3,2.90
"K00594.01","FALSE POSITIVE","FALSE POSITIVE",16.88954693,3.41,,,
"K00962.01","FALSE POSITIVE","FALSE POSITIVE",26.77891391,3.12,,,
"K00973.01","FALSE POSITIVE","FALSE POSITIVE",13.33386985,6.51,,,
"K01026.01","FALSE POSITIVE","FALSE POSITIVE",94.10628163,17.21,,,
"K01027.01","FALSE POSITIVE","FALSE POSITIVE",14.71266408,4.21,,,
"K01131.01","FALSE POSITIVE","FALSE POSITIVE",0.696125302,2.0054,28.44,14966,177.20
"K01137.01","FALSE POSITIVE","FALSE POSITIVE",302.38867822,3.1229,40.73,41320,294.80
"K01411.01","CANDIDATE","CANDIDATE",305.0762469,6.255,7.82,4042.8,113.40
"K01744.01","FALSE POSITIVE","FALSE POSITIVE",5.24372504,17.136,20.41,234.4,51.60
"K01740.01","FALSE POSITIVE","FALSE POSITIVE",18.795269797,9.9816,30.77,28241.1,3596.60
"K01918.01","FALSE POSITIVE","FALSE POSITIVE",42.2625935,4.465,12.62,692.2,40.70
"K01748.01","FALSE POSITIVE","FALSE POSITIVE",3.549386251,2.4342,24.15,50664,108.20
"K01943.01","CONFIRMED","CANDIDATE",29.92208104,2.7716,3.09,345.3,37.60
"K07815.01","FALSE POSITIVE","FALSE POSITIVE",0.566812588,3.596,0.71,17.1,17.50
"K02262.01","FALSE POSITIVE","FALSE POSITIVE",9.94221873,2.453,19.64,486.5,12.60
"K02267.01","FALSE POSITIVE","FALSE POSITIVE",9.06557317,1.6208,1.46,243.4,24.90
"K02268.01","FALSE POSITIVE","FALSE POSITIVE",4.9432827,40.01,1.21,27.1,12.90
"K02270.01","FALSE POSITIVE","FALSE POSITIVE",7.35390869,2.061,2.29,92.9,11.10
"K02275.01","FALSE POSITIVE","FALSE POSITIVE",15.7455586,13.877,1.41,161.1,37.60
"K07825.01","FALSE POSITIVE","FALSE POSITIVE",0.566796615,1.999,0.59,47.8,8.50
"K02135.03","CONFIRMED","CANDIDATE",8.48651582,5.267,1.34,110.8,21.10
"K03950.01","FALSE POSITIVE","FALSE POSITIVE",2.189092892,5.1128,33.45,1871.5,150.70
"K03951.01","FALSE POSITIVE","FALSE POSITIVE",2.40435335,4.07,3.05,70.6,27.10
"K03952.01","FALSE POSITIVE","FALSE POSITIVE",220.9290121,7.335,5.24,2456.5,70.40
"K03953.01","FALSE POSITIVE","FALSE POSITIVE",3.1877519,14.836,19.66,452.3,83.20
"K07835.01","CANDIDATE","CANDIDATE",3.76565247,1.557,0.87,92.4,9.10
"K01351.01","FALSE POSITIVE","FALSE POSITIVE",10.72396374,3.8439,39.84,13518,127.70
"K01195.01","FALSE POSITIVE","FALSE POSITIVE",119.67747,32.274,36.8,3254.1,52.00
"K01483.01","FALSE POSITIVE","FALSE POSITIVE",185.9526325,3.5964,50.98,11106.9,147.30
"K00111.04","FALSE POSITIVE","FALSE POSITIVE",103.62650922,6.89,,,
"K01611.01","FALSE POSITIVE","FALSE POSITIVE",41.077590334,6.20583,23.2,134484,5518.20
"K01624.01","FALSE POSITIVE","FALSE POSITIVE",2.99540439,6.172,65.37,223.2,45.60
"K07846.01","CANDIDATE","CANDIDATE",10.5994606,9.484,1.28,128.8,11.20
"K01817.01","FALSE POSITIVE","FALSE POSITIVE",63.934965,12.71,44.59,1119.5,45.60
"K01869.01","FALSE POSITIVE","FALSE POSITIVE",38.4769457,5.825,4.79,259.4,18.40
"K01951.01","CONFIRMED","CANDIDATE",37.3228722,7.2146,35.34,307.5,42.60
"K02030.01","FALSE POSITIVE","FALSE POSITIVE",1.664980224,1.7455,3.68,230.8,47.60
"K01752.01","FALSE POSITIVE","FALSE POSITIVE",16.6094904,3.189,1.82,272.9,12.70
"K07816.01","FALSE POSITIVE","FALSE POSITIVE",0.566789505,5.835,3.37,54.6,12.60
"K02277.01","FALSE POSITIVE","FALSE POSITIVE",2.62982665,6.213,17.88,126.4,24.60
"K02284.01","FALSE POSITIVE","FALSE POSITIVE",2.69787749,1.915,1.5,116.8,8.30
"K02292.01","FALSE POSITIVE","FALSE POSITIVE",5.23340265,3.242,1.15,242.1,12.70
"K02301.01","FALSE POSITIVE","FALSE POSITIVE",3.51289168,3.313,1.12,131,27.30
"K02061.01","CONFIRMED","CANDIDATE",14.092583189,4.1536,1.82,530.4,17.80
"K07826.01","FALSE POSITIVE","FALSE POSITIVE",9.087508013,2.7597,1.37,140.6,2.50
"K03954.01","FALSE POSITIVE","FALSE POSITIVE",0.65244373,1.471,2.17,610.7,41.80
"K03955.01","FALSE POSITIVE","FALSE POSITIVE",1.332564704,5.9775,30.04,1049.5,124.00
"K03956.01","FALSE POSITIVE","FALSE POSITIVE",2.636899795,0.9105,49.84,426.2,27.60
"K03957.01","FALSE POSITIVE","FALSE POSITIVE",0.660629055,5.894,17.38,231.6,103.30
"K03958.01","FALSE POSITIVE","FALSE POSITIVE",0.885123683,3.3865,1.14,113.3,42.00
"K07836.01","FALSE POSITIVE","FALSE POSITIVE",471.65421,3.456,4.11,479.7,12.50
"K01625.01","FALSE POSITIVE","FALSE POSITIVE",1.221204888,1.8511,1.1,111.6,27.30
"K01617.01","FALSE POSITIVE","FALSE POSITIVE",135.90795753,1.83,,,
"K01620.01","FALSE POSITIVE","FALSE POSITIVE",0.959853772,1.9163,1.3,55.8,27.10
"K01631.01","CANDIDATE","CANDIDATE",0.592243731,1.386,6.77,3992.4,303.80
"K01634.01","FALSE POSITIVE","FALSE POSITIVE",46.882525,1.93,1.91,343.5,4.90
"K01614.01","FALSE POSITIVE","FALSE POSITIVE",20.7191626,3.912,1.85,184.4,8.90
"K07847.01","CANDIDATE","CANDIDATE",399.37587,21.25,3.93,552.2,11.90
"K01919.01","FALSE POSITIVE","FALSE POSITIVE",16.60973843,4.515,6.64,667.8,29.70
"K01743.01","FALSE POSITIVE","FALSE POSITIVE",54.323118,25.863,5.06,538,19.20
"K01741.01","FALSE POSITIVE","FALSE POSITIVE",5.803127153,4.9041,19.04,58570,639.30
"K01767.01","FALSE POSITIVE","FALSE POSITIVE",35.51619219,2.5,719.49,10984,85.40
"K01769.01","FALSE POSITIVE","FALSE POSITIVE",0.589049151,2.25397,39.51,61953.4,1227.60
"K02065.01","CONFIRMED","CANDIDATE",80.2321467,4.656,3.24,888.7,24.90
"K02068.01","CANDIDATE","CANDIDATE",41.88970036,1.35,32.16,1304.4,20.90
"K02070.01","FALSE POSITIVE","FALSE POSITIVE",1.791406261,2.8159,4.51,345.5,60.70
"K02077.01","FALSE POSITIVE","FALSE POSITIVE",1.25483232,2.67,2.89,117.6,11.40
"K02085.01","FALSE POSITIVE","FALSE POSITIVE",5.71483873,2.748,1.26,286.2,18.00
"K07828.01","FALSE POSITIVE","FALSE POSITIVE",17.5859472,3.815,2.24,509.5,8.40
"K03959.01","FALSE POSITIVE","FALSE POSITIVE",1.332567005,6.3373,27.36,401.3,110.60
"K02147.02","CONFIRMED","CANDIDATE",10.32736351,1.889,1.25,126.9,9.70
"K03960.01","FALSE POSITIVE","FALSE POSITIVE",2.54557259,5.636,1.97,529,36.00
"K03961.01","FALSE POSITIVE","FALSE POSITIVE",0.704541784,1.0726,1.72,275.2,38.40
"K03962.01","FALSE POSITIVE","FALSE POSITIVE",0.697996932,4.3323,28.06,9094.6,244.10
"K03963.01","FALSE POSITIVE","FALSE POSITIVE",6.63449721,22.982,85.25,919.1,160.10
"K01623.01","FALSE POSITIVE","FALSE POSITIVE",110.9215892,5.282,3.71,498,48.20
"K01657.01","FALSE POSITIVE","FALSE POSITIVE",3.88673217,20.491,21.04,761.7,119.00
"K01658.01","CONFIRMED","CANDIDATE",1.544928892,1.43586,13.43,5817.3,1109.70
"K01663.01","FALSE POSITIVE","FALSE POSITIVE",11.76921923,3.219,3.12,519.3,27.40
"K01664.01","FALSE POSITIVE","FALSE POSITIVE",44.638983058,3.04001,50.33,36830.1,488.50
"K03104.01","CANDIDATE","CANDIDATE",1.236866732,1.242,1.75,187.2,14.20
"K03118.01","FALSE POSITIVE","FALSE POSITIVE",174.95980475,5.23,,,
"K03121.01","FALSE POSITIVE","FALSE POSITIVE",1.926888595,1.235,1.31,130,11.70
"K01422.05","CONFIRMED","CANDIDATE",34.1420506,2.945,1.06,788,13.30
"K03133.01","FALSE POSITIVE","FALSE POSITIVE",0.241842544,0.7257,1.16,203.3,29.30
"K03134.01","FALSE POSITIVE","FALSE POSITIVE",0.865759153,0.8408,1.53,191.6,18.70
"K03137.01","CANDIDATE","CANDIDATE",1.332035996,1.391,0.85,136.8,12.60
"K03138.01","CONFIRMED","CANDIDATE",8.68910764,1.1627,0.49,1679,9.60
"K03139.01","FALSE POSITIVE","FALSE POSITIVE",0.63624396,4,,,
"K03143.01","FALSE POSITIVE","FALSE POSITIVE",4.4040248,2.41,,,
"K03149.01","FALSE POSITIVE","FALSE POSITIVE",9.81101738,2.09,,,
"K00351.05","CONFIRMED","CANDIDATE",8.71980135,3.7454,1.53,160.4,22.70
"K00351.06","CONFIRMED","CANDIDATE",7.00821787,3.812,1.29,116.4,19.20
"K02881.01","FALSE POSITIVE","FALSE POSITIVE",0.903583394,1.5942,33.18,1027.1,151.70
"K02893.01","FALSE POSITIVE","FALSE POSITIVE",0.99014722,0.9394,1.34,321.1,23.00
"K02902.01","FALSE POSITIVE","FALSE POSITIVE",138.61227705,13.79,,,
"K02909.01","FALSE POSITIVE","FALSE POSITIVE",0.77359329,1.7603,0.82,80.6,21.70
"K02916.01","FALSE POSITIVE","FALSE POSITIVE",0.306937807,0.5925,0.82,119.2,29.30
"K02925.01","CANDIDATE","CANDIDATE",0.716531851,0.655,1.11,78.9,17.90
"K02934.01","FALSE POSITIVE","FALSE POSITIVE",0.637487312,1.9626,1.75,211.3,25.00
"K00918.02","FALSE POSITIVE","FALSE POSITIVE",5.71489488,2.0705,1.41,292.5,21.20
"K00966.02","FALSE POSITIVE","FALSE POSITIVE",7.76967007,4.74,,,
"K01961.02","FALSE POSITIVE","FALSE POSITIVE",76.642481,5.476,1.36,64.5,7.60
"K02037.02","CANDIDATE","CANDIDATE",5.47715718,1.3849,2.17,568.4,16.70
"K02473.02","FALSE POSITIVE","FALSE POSITIVE",73.45736853,5.28,,,
"K02533.02","FALSE POSITIVE","FALSE POSITIVE",9.49361221,6.52,,,
"K02570.02","FALSE POSITIVE","FALSE POSITIVE",4.4296786,1.96,,,
"K02586.02","FALSE POSITIVE","FALSE POSITIVE",5.9703813,0.669,1.69,210.3,5.50
