toi,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,pl_rade,st_teff,st_rad
"1024.01","FP",18.0157000,2.5240000,610.0000000,21.6440000,4709.0000000,7.6100000
"1025.01","PC",9.6837921,2.4006056,4238.2399008,,8598.7000000,
"1026.01","FP",14.2628757,6.9350494,913.2067174,2.4765813,5690.0000000,0.8538980
"1027.01","PC",3.2834565,1.5370000,1558.0000000,2.8764800,4272.0000000,0.6800000
"1027.02","PC",11.0287500,2.7150000,1694.0000000,2.7658600,4272.0000000,0.6800000
"1027.03","PC",5.0113292,1.0240000,1210.0000000,2.5231400,4272.0000000,0.6800000
"1028.01","FP",1.0160600,2.8430000,240.0000000,1.2070400,4634.0000000,0.6800000
"1029.01","FP",36.2221400,5.1070000,7170.0000000,,,
"103.01","KP",3.5478540,3.4943330,10424.3718000,14.5818410,6351.0000000,1.4000000
"1030.01","FP",12.1246519,4.6120000,7279.0000000,17.6729000,4807.6000000,1.0700000
"1031.01","FP",5.6526230,3.4340000,1250.0000000,8.9435400,6415.4000000,1.9200000
"1032.01","PC",5.6643704,3.8087395,3491.8232968,14.7738943,10395.0000000,2.3383701
"1033.01","FP",29.0160175,5.3450000,1389.0000000,6.7740600,6113.1000000,2.0100000
"1034.01","FP",3.6404389,2.5339234,476.3077321,3.7025342,9810.0000000,1.6077600
"1035.01","PC",6.0744477,2.4954821,5982.5212406,30.9493217,5964.0000000,2.4303801
"1036.01","PC",3.7795212,2.9520000,2761.0000000,5.9837500,5771.0000000,1.1800000
"1037.01","FP",1.2025238,1.9910000,390.0000000,6.3110600,9158.0000000,1.7400000
"1038.01","FP",3.2235985,2.1590000,680.0000000,5.5134100,8904.0000000,2.1700000
"1039.01","APC",4.4201250,3.9560000,2466.0000000,,,
"104.01","KP",4.0872956,5.5861130,3572.1712499,13.6237732,6036.0000000,2.2186699
"1040.01","FP",2.5555500,1.5660000,340.0000000,11.5901000,10037.0000000,6.0400000
"1041.01","FP",8.3079200,3.2280000,8350.0000000,43.1068000,9081.0000000,3.0500000
"1042.01","PC",0.7580820,1.8184632,583.9318100,10.1273702,9917.0000000,3.5086601
"1043.01","FP",1.4415577,2.3490000,507.0000000,3.6107800,6902.0000000,1.5200000
"1044.01","PC",1.0085089,1.6420000,3051.0000000,,5215.2000000,
"1045.01","FP",3.7039994,4.2770000,7590.0000000,17.5700000,7013.8000000,1.9000000
"1046.01","FP",1.3042553,1.7060000,914.0000000,9.3647200,6762.0000000,1.7500000
"1047.01","FP",0.6262700,0.6660000,1880.0000000,5.7216200,5622.0000000,0.9300000
"1048.01","FP",0.3041200,0.7480000,1330.0000000,10.4170000,11892.0000000,2.5200000
"1126.01","FP",1.6268695,3.2310000,1502.0000000,2.3649800,5034.0000000,0.7300000
"1127.01","FP",2.3243900,4.4530000,2704.1800000,,8268.5000000,
"1128.01","FP",13.5499000,1.7950000,1180.0000000,6.2463300,6209.0000000,1.6300000
"1129.01","FP",4.4365100,3.3650000,1520.0000000,19.9664000,7101.9000000,2.3200000
"113.01","KP",3.3728770,2.6342600,17163.6041900,14.2018030,6050.0000000,1.0200000
"1130.01","CP",8.3499800,1.8360000,16680.0000000,11.1424000,4236.0000000,0.7400000
"1130.02","CP",4.0686405,1.8373729,2650.0950013,3.7548333,4236.0000000,0.7419210
"1131.01","PC",0.5860366,0.8098934,410.5241553,4.9064080,5579.0000000,2.3980300
"1132.01","FP",1.5502952,2.9380000,411.0000000,3.3452800,7851.0000000,1.8600000
"1133.01","FP",1.8070900,3.2970000,450.0000000,4.8624200,6244.0000000,2.2000000
"1134.01","FP",18.6922101,7.7650000,11126.0000000,18.1458000,6277.0000000,1.6500000
"1135.01","CP",8.0277326,4.2840000,5705.0000000,9.0688300,5962.7000000,1.1500000
"1136.01","CP",12.5187279,5.3800000,2320.0000000,5.5885700,5729.0000000,0.9800000
"1136.02","CP",6.2586065,3.2010000,813.0000000,2.5159300,5729.0000000,0.9800000
"1136.03","CP",26.3208756,4.4140000,800.0000000,2.7134900,5729.0000000,0.9800000
"1136.04","CP",18.7955470,4.3425576,470.6731965,2.1597669,5729.0000000,0.9777270
"1137.01","PC",1.3206356,1.6000996,1052.4255997,34.7561624,4919.6000000,6.3070302
"1138.01","FP",0.6497100,2.0760000,620.0000000,6.2318100,9994.0000000,2.5900000
"1079.01","PC",3.1644075,2.0576293,5603.4635466,14.8814743,6519.0000000,1.7234000
"108.01","KP",3.0440541,2.5984575,22236.0165376,12.1086799,5523.0000000,0.8098680
"1080.01","PC",3.9652485,1.0112593,3680.7544436,1.2305102,3296.0000000,0.1999880
"1081.01","PC",2.9827800,3.1095280,6136.2316620,11.4670110,6027.0000000,1.2397500
"1082.01","PC",16.3469053,3.5865698,2212.4257252,3.5059571,4310.0000000,0.6496130
"1083.01","PC",12.9802953,2.5034417,2407.2608671,2.4241912,3614.0000000,0.4913230
